Company Name,Type,Location,Description,Requirements,Link,Deadline,Duration
intcore,front-end,"5th Settlement, New Cairo, Egypt","As a Frontend Intern, you will play a hands-on role in developing responsive web interfaces using React.js, TypeScript, HTML, and CSS. You will collaborate closely with designers and developers to enhance user experiences while assisting with API integration to ensure smooth data flow across the application. In addition to writing clean, maintainable code, you will help identify bugs, optimize performance, and actively stay updated on the latest industry trends and best practices.","knowledge of basics, git, problem solving",https://lnkd.in/dgdmSjMR,,
e&,IT,-----,"In this IT internship, you will provide essential technical support by troubleshooting hardware, software, and network issues for internal users. You will assist in setting up workstations, configuring operating systems, and managing user accounts to ensure all systems run smoothly and securely. Additionally, you will respond to helpdesk tickets, document technical processes, and collaborate with the IT team to implement system upgrades and maintain cybersecurity best practices.",-------,https://www.etisalat.eg/StaticFiles/hr-internship/#/form/internship,6-Dec,
robotesta,AI,remotely,"Join Robotesta.ai for a 3-month, paid, on-site internship designed to explore the intersection of Software Testing and Artificial Intelligence. You will focus heavily on AI Testing and Test Automation, gaining hands-on experience across multiple software platforms. This role offers a unique opportunity to help build a community around effective AI usage in testing, with the potential to transition into a full-time position based on your performance during the program.","basic js and python, web fundamentals, git",https://careers.robotesta.ai/apply/cde043ed-47cc-43f5-9731-760b818ca17f,in 3 months,3 months
PWC,cyber,-----,"As a Cyber Security Intern, you will assist in protecting the organization’s digital assets by monitoring networks for security breaches and investigating potential threats. You will help conduct vulnerability assessments and penetration testing while working with the team to implement robust security protocols. Additionally, you will support incident response efforts, document security policies, and stay up to date with the latest cyber threats and defense strategies to ensure system integrity.",-------,https://www.pwc.com/m1/en/careers/egypt-technology-innovation-centre/etic-youth-academy.html,,
vodafone,cyber,-----,"As a Cyber Security Intern, you will assist in protecting the organization’s digital assets by monitoring networks for security breaches and investigating potential threats. You will help conduct vulnerability assessments and penetration testing while working with the team to implement robust security protocols. Additionally, you will support incident response efforts, document security policies, and stay up to date with the latest cyber threats and defense strategies to ensure system integrity.",-----,https://lnkd.in/d4M8hRQM,,
paymob,Software Development,maadi,"As a Software Development Intern, you will participate in the full software development lifecycle, designing, coding, and testing high-quality applications. You will collaborate with cross-functional teams to analyze user requirements and transform them into functional software solutions. In addition to debugging complex issues and optimizing existing code, you will participate in code reviews and document technical specifications, all while gaining exposure to modern development frameworks and industry best practices.",-----,https://apply.skatch.com/ar/form?job_id=6927163b6daf4396314c5cbc&job_title=Tech+Talent+-+Software+Development&company_name=Paymob&location=%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9+-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%8A%2C+%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9%2C+%D9%85%D8%B5%D8%B1,,
milkup,front-end,dokki,"As a Frontend Intern, you will play a hands-on role in developing responsive web interfaces using React.js, TypeScript, HTML, and CSS. You will collaborate closely with designers and developers to enhance user experiences while assisting with API integration to ensure smooth data flow across the application. In addition to writing clean, maintainable code, you will help identify bugs, optimize performance, and actively stay updated on the latest industry trends and best practices.","UI/UX using react, API integration",https://apply.skatch.com/form?job_id=69270a5bede0d24eee631766&job_title=Frontend+Development+Intern&company_name=Milkup&location=Giza-Dokki%2C+Giza%2C+Egypt,,1-3 months
unicharm,IT,10th of ramadan,"In this IT internship, you will provide essential technical support by troubleshooting hardware, software, and network issues for internal users. You will assist in setting up workstations, configuring operating systems, and managing user accounts to ensure all systems run smoothly and securely. Additionally, you will respond to helpdesk tickets, document technical processes, and collaborate with the IT team to implement system upgrades and maintain cybersecurity best practices.","maintain systems, and contribute to IT projects",https://apply.skatch.com/form?job_id=6927012cede0d24eee62ee59&job_title=IT+Intern&company_name=Unicharm&location=Sharqia-10+of+Ramadan%2C+Sharqia%2C+Egypt,,
milkup,AI Automation & Data Analytics,dokki,"As an AI & Data Intern, you will explore new technologies by building automation workflows using AI tools and supporting experiments with machine learning models. You will be responsible for cleaning, structuring, and visualizing data to contribute to internal dashboards and analytics. By identifying key insights, you will directly help improve farm efficiency, applying your passion for coding and continuous learning to real-world challenges.",knowledge of AI,https://apply.skatch.com/ar/form?job_id=69270aed6daf4396314b408c&job_title=AI+Automation+%26+Data+Analytics+Intern&company_name=Milkup&location=%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9-%D8%A7%D9%84%D8%AF%D9%82%D9%8A%2C+%D8%A7%D9%84%D8%AC%D9%8A%D8%B2%D8%A9%2C+%D9%85%D8%B5%D8%B1,,1-3 months
uniparticle,front-end,maadi,"As a Frontend React.js / React Native Intern, you will develop responsive, user-friendly interfaces for both web and mobile platforms. You will work on building reusable components based on design prototypes and integrating APIs to efficiently fetch and display data. Collaborating closely with designers and backend developers, you will assist in debugging, testing, and optimizing application performance, all while utilizing Git for version control and maintaining high standards for code quality and readability.","UI/UX using react, API integration",https://apply.skatch.com/form?job_id=6926dc6dede0d24eee626535&job_title=Frontend+React.js+%2F+react+native+Internship&company_name=Uniparticle&location=Cairo+-Maadi%2C+Cairo%2C+Egypt,,
uniparticle,back-end,maadi,"As a Backend Python & Django Intern, you will focus on developing and maintaining robust server-side applications using Python and the Django framework. You will design and optimize RESTful APIs to support web and mobile platforms while managing relational databases through efficient models, queries, and migrations. In addition to ensuring secure integration with frontend services, you will actively participate in debugging, performance tuning, and code reviews to ensure all software adheres to clean architecture and security best practices.","python, django",https://apply.skatch.com/form?job_id=6926dca7ede0d24eee6266c0&job_title=Backend+python%2F+django+Internship&company_name=Uniparticle&location=Cairo+-Maadi%2C+Cairo%2C+Egypt,,
uniparticle,QA Testing,maadi,"As a QA Testing Intern, you will ensure that web and mobile applications meet functional, design, and performance standards through rigorous manual testing. You will be responsible for executing test cases, identifying bugs, and clearly documenting issues using tracking tools to facilitate quick resolutions. Working closely with developers, you will assist in regression testing and UI/UX validation, while also helping to create test scenarios and maintain comprehensive testing documentation to ensure high-quality software delivery.",testing,https://apply.skatch.com/form?job_id=6926dd43ede0d24eee6269dd&job_title=QA+testing+Internship&company_name=Uniparticle&location=Cairo+-Maadi%2C+Cairo%2C+Egypt,,
uniparticle,back-end,maadi,"As a Backend Laravel/PHP Intern, you will focus on developing and maintaining robust server-side applications using PHP and the Laravel framework. You will build and optimize RESTful APIs to ensure seamless integration with web and mobile platforms, while managing MySQL databases through migrations, complex queries, and Eloquent ORM. In addition to implementing secure authentication and data handling, you will collaborate with the team on code reviews, debugging, and performance improvements to deliver clean, scalable backend solutions.",Build and optimize RESTful APIs for web and mobile applications,https://apply.skatch.com/form?job_id=6926dcf8ede0d24eee626853&job_title=Backend+Laravel%2FPHP+Internship&company_name=Uniparticle&location=Cairo+-Maadi%2C+Cairo%2C+Egypt,,
TipsHindawi,LLM,----,"In this 6-week online internship, you will dive into the world of Large Language Models through a structured training program designed to build your technical expertise from the ground up. You will gain hands-on experience by working on real-world projects, allowing you to apply theoretical knowledge to practical scenarios under the guidance of industry mentors. This opportunity is ideal for beginners looking to develop high-demand AI skills and position themselves for future career growth in a supportive, remote environment.",----,https://docs.google.com/forms/d/e/1FAIpQLSfl3m-d9k7-kXM598OTC9LqDBXizZfpS9zbnhEEmevMubOOCg/closedform,,6 weeks
